index,period,org_code,attendances,breaches,admissions
494,2017-02-01,RJE,12948,3777,4000
495,2017-02-01,RJE,377,0,0
496,2017-02-01,RJE,4003,38,0
497,2017-02-01,RBK,5593,1636,1693
498,2017-02-01,RBK,3227,25,0
500,2017-02-01,RWG,7178,2324,2473
502,2017-02-01,RGR,5050,812,1860
503,2017-02-01,RWP,8647,2957,2602
504,2017-02-01,RWP,4741,1,0
505,2017-02-01,RLQ,3908,965,1062
506,2017-02-01,RLQ,2698,0,0
507,2017-02-01,REM,6217,1713,2244
509,2017-02-01,RCF,4577,254,971
510,2017-02-01,RBS,4536,137,963
511,2017-02-01,RFF,6281,943,1999
512,2017-02-01,RXL,6229,2417,2021
514,2017-02-01,RMC,7749,1231,2040
516,2017-02-01,RAE,9969,988,2667
519,2017-02-01,RWY,11252,737,2408
520,2017-02-01,RW3,11747,2453,3303
523,2017-02-01,RLN,7168,1242,2545
526,2017-02-01,RJR,5275,713,1338
528,2017-02-01,RXP,9468,1603,3128
531,2017-02-01,RP5,9793,1360,2945
533,2017-02-01,RJN,3436,775,858
535,2017-02-01,RXR,7824,2365,2836
538,2017-02-01,RR7,6572,387,1488
540,2017-02-01,RCD,3290,208,787
542,2017-02-01,RWA,9827,1957,2887
545,2017-02-01,RXN,5084,1506,1545
548,2017-02-01,RR8,15978,2830,4782
554,2017-02-01,RBT,4861,410,1594
556,2017-02-01,RXF,17442,3092,4347
557,2017-02-01,RNL,6822,945,1819
558,2017-02-01,RVW,5220,481,1510
562,2017-02-01,RJL,9989,2698,2400
564,2017-02-01,RTF,7094,1223,3497
566,2017-02-01,RW6,20121,5159,4778
569,2017-02-01,RQ6,6775,2290,1961
572,2017-02-01,RM3,7598,1723,2331
574,2017-02-01,RCU,4342,112,612
575,2017-02-01,RHQ,8460,2947,2550
578,2017-02-01,RTR,8954,933,1761
580,2017-02-01,RE9,4414,285,1135
582,2017-02-01,RVY,5712,1228,1637
584,2017-02-01,RBN,7740,2008,3010
586,2017-02-01,RWJ,6831,1695,2139
587,2017-02-01,RMP,6352,835,1570
588,2017-02-01,RTD,9419,997,2019
591,2017-02-01,RFR,5567,1417,1408
593,2017-02-01,RM2,7435,964,2367
594,2017-02-01,RTX,6113,1385,1825
596,2017-02-01,RWW,5985,1428,2261
599,2017-02-01,RBL,7050,2076,2114
602,2017-02-01,RRF,6605,1063,1585
603,2017-02-01,RCB,7930,2504,3062
605,2017-02-01,RTK,7498,1503,1875
611,2017-02-01,RXH,11012,2366,3149
614,2017-02-01,RXQ,6153,1161,2550
620,2017-02-01,RN7,7750,1313,2137
622,2017-02-01,RBD,3084,192,1171
624,2017-02-01,RVV,10975,3700,3030
626,2017-02-01,RXC,7951,1903,2433
628,2017-02-01,RDU,17357,1527,5308
630,2017-02-01,RTE,9772,2248,3207
631,2017-02-01,RN3,5913,2076,2077
633,2017-02-01,RN5,7789,1022,2054
636,2017-02-01,R1F,3039,600,666
640,2017-02-01,RWF,10386,1789,3204
642,2017-02-01,RPA,8460,2016,1948
643,2017-02-01,RVJ,6160,1128,2097
644,2017-02-01,RBZ,3116,522,953
648,2017-02-01,RTH,9816,2005,2794
651,2017-02-01,RK9,7229,1085,2656
653,2017-02-01,RD3,4830,414,1465
655,2017-02-01,RHU,7901,2493,2452
659,2017-02-01,RHW,8112,817,2665
661,2017-02-01,REF,5324,1324,2344
663,2017-02-01,RH8,7214,637,1699
665,2017-02-01,RA2,4979,307,1786
666,2017-02-01,RD1,5272,1229,1753
668,2017-02-01,RNZ,3223,543,954
676,2017-02-01,RTP,7142,647,2172
678,2017-02-01,RBA,4751,332,1584
680,2017-02-01,RDZ,5527,441,1706
682,2017-02-01,RA9,5146,809,2243
684,2017-02-01,RHM,7349,1528,2937
686,2017-02-01,RA7,7904,1816,2597
688,2017-02-01,RYR,9715,659,2840
690,2017-02-01,RA3,3683,1125,910
695,2017-02-01,RA4,3374,133,1270
696,2017-01-01,RF4,20430,5247,4519
699,2017-01-01,R1H,28420,7426,6435
704,2017-01-01,RQM,16920,3141,3339
706,2017-01-01,RJ6,6618,1438,2197
710,2017-01-01,RVR,11643,652,3264
712,2017-01-01,RJ1,11677,1840,3149
716,2017-01-01,RQX,10039,710,1639
718,2017-01-01,RYJ,9744,3197,3139
721,2017-01-01,RJZ,16752,4887,4419
724,2017-01-01,RAX,8628,1652,1782
726,2017-01-01,RJ2,17998,4454,4657
728,2017-01-01,R1K,11961,5897,4587
732,2017-01-01,RAP,14751,3543,2498
736,2017-01-01,RAL,18559,3690,3556
739,2017-01-01,RJ7,12656,1879,3871
742,2017-01-01,RAS,5686,2776,1856
746,2017-01-01,RKE,8255,1414,1268
747,2017-01-01,RRV,11130,1517,2030
751,2017-01-01,RDD,11165,1385,2361
752,2017-01-01,RC1,6024,555,1908
754,2017-01-01,RQ3,5130,248,1072
755,2017-01-01,RJF,5150,1157,1914
757,2017-01-01,RGT,8801,2361,3100
759,2017-01-01,RFS,6644,1393,2059
761,2017-01-01,RDE,6902,1627,2597
764,2017-01-01,RTG,10806,2386,3700
768,2017-01-01,RWH,8657,2148,3300
772,2017-01-01,RLT,6258,1380,1138
775,2017-01-01,RR1,18898,5019,5787
778,2017-01-01,RQQ,3571,884,802
779,2017-01-01,RGQ,6788,1073,2123
781,2017-01-01,RGP,5882,740,1281
783,2017-01-01,RNQ,7088,2095,2378
787,2017-01-01,RC9,8331,183,2711
792,2017-01-01,RQ8,7343,1748,2374
794,2017-01-01,RD8,7028,1621,1307
797,2017-01-01,RM1,8944,2311,2275
799,2017-01-01,RGN,7547,2278,2211
801,2017-01-01,RNS,8353,1712,2380
805,2017-01-01,RX1,14017,3472,4073
812,2017-01-01,RXK,13929,2932,3212
813,2017-01-01,RXK,1990,14,27
814,2017-01-01,RXK,2720,0,0
815,2017-01-01,RK5,8295,919,2788
817,2017-01-01,RXW,9289,2882,2360
818,2017-01-01,RXW,1727,0,0
822,2017-01-01,RJC,4949,379,1700
823,2017-01-01,RJC,570,0,0
824,2017-01-01,RAJ,7989,1484,2446
826,2017-01-01,RNA,8593,1903,2460
827,2017-01-01,RNA,6882,0,0
828,2017-01-01,RQW,8076,3019,1525
829,2017-01-01,RCX,4996,684,2142
830,2017-01-01,RL4,10711,2416,2700
831,2017-01-01,RL4,7657,67,0
832,2017-01-01,RWD,12238,2977,3522
833,2017-01-01,RRK,9640,2585,2919
834,2017-01-01,RKB,11313,3361,3874
